Bigram,Probability
established among,-11.656
established grievance,-11.656
established hers,-11.656
established him,-11.656
established ideas,-11.656
established their,-11.656
established when,-11.656
established with,-11.656
establishment If,-11.656
establishment Marianne,-11.656
establishment could,-11.656
establishment for,-11.656
establishment in,-11.656
establishment or,-11.656
establishment so,-11.656
establishment the,-11.656
everybody <UNK>,-11.656
everybody cares,-11.656
everybody had,-11.656
everybody may,-11.656
everybody must,-11.656
everybody to,-11.656
everybody was,-11.656
evils a,-11.656
evils before,-11.656
evils but,-11.656
evils crossed,-11.656
evils seemed,-11.656
evils she,-11.656
evils they,-11.656
evils to,-11.656
evils without,-11.656
excepting Anne,-11.656
excepting Charles,-11.656
excepting Frank,-11.656
excepting a,-11.656
excepting as,-11.656
excepting for,-11.656
excepting her,-11.656
excepting our,-11.656
excepting when,-11.656
excited a,-11.656
excited for,-11.656
excited in,-11.656
excited no,-11.656
excited nor,-11.656
excited the,-11.656
excited there,-11.656
excited towards,-11.656
exert and,-11.656
exert himself,-11.656
exert his,-11.656
exert it,-11.656
exert myself,-11.656
exert our,-11.656
exert yourself,-11.656
existence before,-11.656
existence could,-11.656
existence never,-11.656
existence or,-11.656
existence secure,-11.656
existence what,-11.656
expense <eos>,-11.656
expense no,-11.656
expense the,-11.656
expense though,-11.656
expense to,-11.656
expense while,-11.656
explain <eos>,-11.656
explain Italian,-11.656
explain The,-11.656
explain away,-11.656
explain there,-11.656
explain this,-11.656
explain to,-11.656
explained by,-11.656
explained some,-11.656
explained themselves,-11.656
expressions <UNK>,-11.656
expressions <eos>,-11.656
expressions assisted,-11.656
expressions begun,-11.656
expressions but,-11.656
expressions his,-11.656
expressions or,-11.656
exquisite <eos>,-11.656
exquisite Still,-11.656
exquisite calmness,-11.656
exquisite comfort,-11.656
exquisite delight,-11.656
exquisite feelings,-11.656
exquisite felicity,-11.656
exquisite flutter,-11.656
exquisite grace,-11.656
exquisite moments,-11.656
exquisite possession,-11.656
exquisite power,-11.656
exquisite relief,-11.656
exquisite sight,-11.656
extent <eos>,-11.656
extent Harriet,-11.656
extent and,-11.656
extent to,-11.656
extent we,-11.656
extreme <UNK>,-11.656
extreme affection,-11.656
extreme agitation,-11.656
extreme attention,-11.656
extreme difficulty,-11.656
extreme good,-11.656
extreme mildness,-11.656
extreme shame,-11.656
extreme solicitude,-11.656
extreme surprize,-11.656
extreme sweetness,-11.656
extreme that,-11.656
fail her,-11.656
fail him,-11.656
fail me,-11.656
failed as,-11.656
failed for,-11.656
failed he,-11.656
failed the,-11.656
fallen because,-11.656
fallen down,-11.656
families Emma,-11.656
families and,-11.656
families at,-11.656
families have,-11.656
families quite,-11.656
families renewed,-11.656
families that,-11.656
families undesirable,-11.656
families were,-11.656
families would,-11.656
families you,-11.656
fancying in,-11.656
fancying interesting,-11.656
fancying it,-11.656
fancying people,-11.656
fancying what,-11.656
fate and,-11.656
fate but,-11.656
fate it,-11.656
fate rather,-11.656
fate removed,-11.656
fate than,-11.656
fate was,-11.656
fate whatever,-11.656
fate with,-11.656
faults bore,-11.656
faults excited,-11.656
faults faults,-11.656
faults forgotten,-11.656
faults in,-11.656
faults or,-11.656
faults what,-11.656
features I,-11.656
features announced,-11.656
features are,-11.656
features but,-11.656
features having,-11.656
features open,-11.656
features perhaps,-11.656
features small,-11.656
features to,-11.656
features which,-11.656
felicity followed,-11.656
fifty <UNK>,-11.656
fifty at,-11.656
fifty four,-11.656
fifty guineas,-11.656
fifty miles,-11.656
fifty quotations,-11.656
fifty than,-11.656
fifty thousand,-11.656
fix <eos>,-11.656
fix at,-11.656
fix him,-11.656
fix his,-11.656
fix still,-11.656
fix them,-11.656
fix themselves,-11.656
foot <eos>,-11.656
foot about,-11.656
foot and,-11.656
foot boy,-11.656
foot had,-11.656
foot pace,-11.656
foot the,-11.656
foot was,-11.656
force and,-11.656
force at,-11.656
force her,-11.656
force him,-11.656
force the,-11.656
force themselves,-11.656
forgive <eos>,-11.656
forgive each,-11.656
forgive every,-11.656
forgive the,-11.656
forgiven Anne,-11.656
forgiven as,-11.656
forgiven by,-11.656
forgiven every,-11.656
forgiven him,-11.656
forgiven in,-11.656
forgiven said,-11.656
forgiven them,-11.656
forgiven you,-11.656
forgot Marianne,-11.656
forgot all,-11.656
forgot for,-11.656
forgot how,-11.656
forgot it,-11.656
forgot our,-11.656
forgot to,-11.656
forming all,-11.656
forming altogether,-11.656
forming an,-11.656
forming any,-11.656
forming his,-11.656
forming into,-11.656
forming parties,-11.656
forming plans,-11.656
forming some,-11.656
forming themselves,-11.656
forming were,-11.656
forming words,-11.656
forth again,-11.656
forth and,-11.656
forth at,-11.656
forth had,-11.656
forth her,-11.656
forth universally,-11.656
forth whenever,-11.656
forth with,-11.656
frequent <UNK>,-11.656
frequent and,-11.656
frequent attention,-11.656
frequent bursts,-11.656
frequent but,-11.656
frequent discussion,-11.656
frequent domestic,-11.656
frequent invitations,-11.656
frequent nor,-11.656
frequent visitor,-11.656
frightened but,-11.656
frightened enough,-11.656
frightened gave,-11.656
frightened her,-11.656
frightened if,-11.656
frightened me,-11.656
frightened she,-11.656
frightened that,-11.656
gain Anne,-11.656
gain from,-11.656
gain half,-11.656
gain her,-11.656
gain it,-11.656
gain no,-11.656
gain strength,-11.656
gain very,-11.656
gain your,-11.656
gallantry Admiral,-11.656
gallantry in,-11.656
gallantry is,-11.656
gallantry of,-11.656
gallantry or,-11.656
gallantry raised,-11.656
gallantry she,-11.656
gallantry towards,-11.656
goodness I,-11.656
goodness continued,-11.656
goodness my,-11.656
gradually acquainted,-11.656
gradually became,-11.656
gradually done,-11.656
gradually getting,-11.656
gradually giving,-11.656
gradually grow,-11.656
gradually her,-11.656
gradually introduce,-11.656
gradually learning,-11.656
gradually led,-11.656
gradually opened,-11.656
gradually reconcile,-11.656
gradually removed,-11.656
gradually revived,-11.656
gradually sensible,-11.656
gradually yielding,-11.656
gratified They,-11.656
gratified but,-11.656
gratified confused,-11.656
gratified feelings,-11.656
gratified in,-11.656
gratified me,-11.656
gratified than,-11.656
gratified you,-11.656
grief for,-11.656
grief in,-11.656
grief like,-11.656
grief shocking,-11.656
grief soon,-11.656
grief which,-11.656
grieved at,-11.656
grieved her,-11.656
grieved me,-11.656
grieved over,-11.656
grieved that,-11.656
grown <eos>,-11.656
grown Miss,-11.656
grown a,-11.656
grown and,-11.656
grown had,-11.656
grown into,-11.656
grown neither,-11.656
grown out,-11.656
grown so,-11.656
grown tedious,-11.656
grown thin,-11.656
grown vain,-11.656
grown very,-11.656
habits <eos>,-11.656
habits for,-11.656
habits in,-11.656
habits required,-11.656
habits seemed,-11.656
habits the,-11.656
habits they,-11.656
happier as,-11.656
happier creature,-11.656
happier effect,-11.656
happier for,-11.656
happier if,-11.656
happier marriage,-11.656
happier or,-11.656
happier perhaps,-11.656
happier prospect,-11.656
happier to,-11.656
happier woman,-11.656
happiest I,-11.656
happiest being,-11.656
happiest couples,-11.656
happiest creatures,-11.656
happiest dream,-11.656
happiest eloquence,-11.656
happiest hours,-11.656
happiest humour,-11.656
happiest in,-11.656
happiest of,-11.656
happiest part,-11.656
happiest she,-11.656
happiest spirits,-11.656
happiest spot,-11.656
happiest women,-11.656
happily <eos>,-11.656
happily Lady,-11.656
happily accomplished,-11.656
happily and,-11.656
happily away,-11.656
happily deceived,-11.656
happily disposed,-11.656
happily either,-11.656
happily engrafted,-11.656
happily married,-11.656
happily occupied,-11.656
happily passed,-11.656
happily placed,-11.656
happily quite,-11.656
happily released,-11.656
happily settled,-11.656
happily smiling,-11.656
heartily and,-11.656
heartily for,-11.656
heartily grieve,-11.656
heartily rejoice,-11.656
heartily to,-11.656
heartily wished,-11.656
heavy a,-11.656
heavy and,-11.656
heavy as,-11.656
heavy blow,-11.656
heavy but,-11.656
heavy cold,-11.656
heavy except,-11.656
heavy misfortune,-11.656
heavy rain,-11.656
heavy restless,-11.656
heavy set,-11.656
heavy sigh,-11.656
heavy that,-11.656
heavy work,-11.656
held <eos>,-11.656
held a,-11.656
held as,-11.656
held back,-11.656
held below,-11.656
held forth,-11.656
held he,-11.656
held in,-11.656
held such,-11.656
held the,-11.656
held up,-11.656
hesitation I,-11.656
hesitation and,-11.656
hesitation declared,-11.656
hesitation said,-11.656
hesitation which,-11.656
higher <UNK>,-11.656
higher a,-11.656
higher character,-11.656
higher claim,-11.656
higher fix,-11.656
higher powers,-11.656
higher should,-11.656
higher situation,-11.656
higher spirits,-11.656
higher style,-11.656
hill as,-11.656
hill behind,-11.656
hill into,-11.656
hill on,-11.656
hill still,-11.656
hill the,-11.656
hill there,-11.656
hill while,-11.656
hitherto <UNK>,-11.656
hitherto <eos>,-11.656
hitherto been,-11.656
hitherto believed,-11.656
hitherto but,-11.656
hitherto contained,-11.656
hitherto had,-11.656
hitherto he,-11.656
hitherto misunderstood,-11.656
hitherto of,-11.656
hitherto perfectly,-11.656
hitherto restrained,-11.656
hitherto they,-11.656
honourable <UNK>,-11.656
honourable I,-11.656
honourable Yes,-11.656
honourable cousin,-11.656
honourable exertions,-11.656
honourable in,-11.656
honourable station,-11.656
honourable than,-11.656
honourable to,-11.656
honourable toils,-11.656
honourable was,-11.656
horse <eos>,-11.656
horse and,-11.656
horse at,-11.656
horse back,-11.656
horse chaise,-11.656
horse from,-11.656
horse in,-11.656
horse is,-11.656
horse one,-11.656
horse recovered,-11.656
horse seeming,-11.656
horse that,-11.656
horse threw,-11.656
horse were,-11.656
horse would,-11.656
human <UNK>,-11.656
human beings,-11.656
human character,-11.656
human events,-11.656
human fate,-11.656
human mind,-11.656
human perfection,-11.656
humble and,-11.656
humble grateful,-11.656
humble had,-11.656
humble her,-11.656
humble nor,-11.656
humble opinion,-11.656
humble servant,-11.656
humble way,-11.656
humble were,-11.656
hurt <eos>,-11.656
hurt her,-11.656
hurt you,-11.656
ignorant <eos>,-11.656
ignorant Mrs,-11.656
ignorant but,-11.656
ignorant than,-11.656
ignorant that,-11.656
improve a,-11.656
improve and,-11.656
improve at,-11.656
improve his,-11.656
improve the,-11.656
improve them,-11.656
improve was,-11.656
imprudence a,-11.656
imprudence and,-11.656
imprudence had,-11.656
imprudence that,-11.656
imprudence towards,-11.656
imprudence was,-11.656
imprudence which,-11.656
inclined after,-11.656
inclined and,-11.656
inclined for,-11.656
inclined towards,-11.656
increasing <UNK>,-11.656
increasing acquaintance,-11.656
increasing attachment,-11.656
increasing coldness,-11.656
increasing degree,-11.656
increasing every,-11.656
increasing expenses,-11.656
increasing her,-11.656
increasing intimacy,-11.656
increasing not,-11.656
increasing respect,-11.656
increasing surprise,-11.656
independence At,-11.656
independence by,-11.656
independence impossible,-11.656
independence nobody,-11.656
independence of,-11.656
independence or,-11.656
independence she,-11.656
independence to,-11.656
independence was,-11.656
independence which,-11.656
independence you,-11.656
independent because,-11.656
independent property,-11.656
independent resources,-11.656
independent there,-11.656
infinitely better,-11.656
infinitely preferable,-11.656
infinitely provoking,-11.656
infinitely surpassing,-11.656
infinitely the,-11.656
infinitely to,-11.656
infinitely too,-11.656
infinitely worse,-11.656
inn as,-11.656
inn at,-11.656
inn last,-11.656
inn nor,-11.656
inn or,-11.656
inn which,-11.656
inn with,-11.656
inn you,-11.656
inquiries Was,-11.656
inquiries and,-11.656
inquiries at,-11.656
inquiries even,-11.656
inquiries for,-11.656
inquiries sprung,-11.656
inquiries which,-11.656
inquiries with,-11.656
instance as,-11.656
instance dear,-11.656
instance it,-11.656
instance such,-11.656
instance the,-11.656
instance this,-11.656
instance were,-11.656
instance without,-11.656
intention and,-11.656
intention however,-11.656
intention than,-11.656
intention which,-11.656
intentions in,-11.656
intentions of,-11.656
intentions supports,-11.656
intentions to,-11.656
intentions went,-11.656
intentions whatever,-11.656
intercourse Sir,-11.656
intercourse by,-11.656
intercourse equal,-11.656
intercourse had,-11.656
intercourse highly,-11.656
intercourse in,-11.656
interrupted Emma,-11.656
interrupted Mrs,-11.656
interrupted but,-11.656
interrupted curiosity,-11.656
interrupted she,-11.656
interrupted soon,-11.656
interrupted with,-11.656
interrupted you,-11.656
introduction and,-11.656
introduction at,-11.656
introduction could,-11.656
introduction for,-11.656
introduction must,-11.656
introduction of,-11.656
introduction though,-11.656
introduction to,-11.656
introduction when,-11.656
invite Miss,-11.656
invite five,-11.656
invite from,-11.656
invite neither,-11.656
invite supplication,-11.656
invite than,-11.656
invite the,-11.656
invite what,-11.656
invite your,-11.656
involved I,-11.656
involved herself,-11.656
involved you,-11.656
judging <eos>,-11.656
judging a,-11.656
judging and,-11.656
judging claims,-11.656
judging female,-11.656
judging following,-11.656
judging from,-11.656
judging her,-11.656
judging it,-11.656
keeping Anne,-11.656
keeping Sir,-11.656
keeping apple,-11.656
keeping away,-11.656
keeping dinner,-11.656
keeping him,-11.656
keeping his,-11.656
keeping in,-11.656
keeping little,-11.656
keeping no,-11.656
keeping them,-11.656
keeping this,-11.656
keeping up,-11.656
keeping you,-11.656
kindly <eos>,-11.656
kindly but,-11.656
kindly intercourse,-11.656
kindly only,-11.656
kindly said,-11.656
kindly sent,-11.656
kindly spoken,-11.656
kindly taking,-11.656
kindly that,-11.656
kindly to,-11.656
kindly urged,-11.656
kindly watched,-11.656
kindly while,-11.656
later age,-11.656
later at,-11.656
later her,-11.656
later hour,-11.656
later in,-11.656
later said,-11.656
later then,-11.656
later would,-11.656
leading <UNK>,-11.656
leading at,-11.656
leading her,-11.656
leading him,-11.656
leading into,-11.656
leading point,-11.656
leading principles,-11.656
leading them,-11.656
leading to,-11.656
learn and,-11.656
learn herself,-11.656
learn nothing,-11.656
learn of,-11.656
learn the,-11.656
learn whether,-11.656
length Lucy,-11.656
length an,-11.656
length forcing,-11.656
length in,-11.656
length my,-11.656
length persuaded,-11.656
length there,-11.656
liberal <UNK>,-11.656
liberal <eos>,-11.656
liberal It,-11.656
liberal acquirements,-11.656
liberal allowances,-11.656
liberal as,-11.656
liberal assistance,-11.656
liberal designs,-11.656
liberal father,-11.656
liberal nothing,-11.656
liberal plan,-11.656
liberal supply,-11.656
lovely a,-11.656
lovely amiable,-11.656
lovely as,-11.656
lovely blooming,-11.656
lovely daughter,-11.656
lovely in,-11.656
lovely is,-11.656
lovely person,-11.656
lovely that,-11.656
loves Emma,-11.656
loves Jane,-11.656
loves Marianne,-11.656
loves and,-11.656
loves any,-11.656
loves better,-11.656
loves him,-11.656
loves me,-11.656
loves piquet,-11.656
loves she,-11.656
loves to,-11.656
luck I,-11.656
luck Your,-11.656
luck and,-11.656
luck for,-11.656
luck he,-11.656
luck to,-11.656
luck which,-11.656
luck you,-11.656
luck yourself,-11.656
madam cried,-11.656
madam is,-11.656
madam it,-11.656
madam my,-11.656
madam of,-11.656
madam said,-11.656
madam she,-11.656
madam to,-11.656
madam will,-11.656
master and,-11.656
master appeared,-11.656
master lately,-11.656
master nor,-11.656
master should,-11.656
measure I,-11.656
measure and,-11.656
measure be,-11.656
measure by,-11.656
measure every,-11.656
measure her,-11.656
measure premature,-11.656
measure quieted,-11.656
measure should,-11.656
measure the,-11.656
measure your,-11.656
memory as,-11.656
memory been,-11.656
memory brought,-11.656
memory her,-11.656
memory many,-11.656
memory no,-11.656
memory of,-11.656
memory with,-11.656
merits because,-11.656
merits blind,-11.656
merits can,-11.656
merits could,-11.656
merits of,-11.656
merits the,-11.656
merits there,-11.656
message could,-11.656
message for,-11.656
message he,-11.656
message was,-11.656
middle and,-11.656
missed although,-11.656
missed an,-11.656
missed and,-11.656
missed as,-11.656
missed but,-11.656
missed every,-11.656
missed him,-11.656
missed me,-11.656
missed seeing,-11.656
missed the,-11.656
missed you,-11.656
momentary <UNK>,-11.656
momentary apprehensions,-11.656
momentary conquest,-11.656
momentary doubt,-11.656
momentary expression,-11.656
momentary look,-11.656
momentary perverseness,-11.656
momentary vexation,-11.656
moreover <UNK>,-11.656
moreover Sir,-11.656
moreover a,-11.656
moreover as,-11.656
moreover aware,-11.656
moreover from,-11.656
moreover how,-11.656
moreover it,-11.656
moreover on,-11.656
moreover perpetually,-11.656
moreover to,-11.656
moreover truly,-11.656
moreover was,-11.656
moreover which,-11.656
mortification <eos>,-11.656
mortification he,-11.656
mortification preparing,-11.656
mortification she,-11.656
mortification they,-11.656
moved <eos>,-11.656
moved a,-11.656
moved about,-11.656
moved after,-11.656
moved forward,-11.656
moved into,-11.656
moved towards,-11.656
moved with,-11.656
moving and,-11.656
moving aunt,-11.656
moving away,-11.656
moving into,-11.656
moving on,-11.656
moving proved,-11.656
moving she,-11.656
moving slowly,-11.656
moving that,-11.656
moving the,-11.656
moving to,-11.656
named Miss,-11.656
named Mr,-11.656
named Mrs,-11.656
named after,-11.656
named as,-11.656
named by,-11.656
named her,-11.656
named them,-11.656
named without,-11.656
names announced,-11.656
names are,-11.656
names but,-11.656
names in,-11.656
names nor,-11.656
names now,-11.656
names were,-11.656
names you,-11.656
nearer I,-11.656
nearer Randalls,-11.656
nearer and,-11.656
nearer connection,-11.656
nearer connections,-11.656
nearer perfect,-11.656
nearer the,-11.656
nearer thirty,-11.656
nearer view,-11.656
nervous <UNK>,-11.656
nervous and,-11.656
nervous complaint,-11.656
nervous constitution,-11.656
nervous disorder,-11.656
nervous distress,-11.656
nervous fever,-11.656
nervous gratitude,-11.656
nervous head,-11.656
nervous seizure,-11.656
nervous she,-11.656
nervous so,-11.656
nervous system,-11.656
nervous that,-11.656
nervous thrill,-11.656
nonsense I,-11.656
nonsense Mary,-11.656
nonsense as,-11.656
nonsense for,-11.656
nonsense one,-11.656
nonsense or,-11.656
nonsense very,-11.656
nonsense which,-11.656
nonsense will,-11.656
notion <eos>,-11.656
notion and,-11.656
notion had,-11.656
notion her,-11.656
notion she,-11.656
nurse <eos>,-11.656
nurse Rooke,-11.656
nurse around,-11.656
nurse as,-11.656
nurse by,-11.656
nurse for,-11.656
nurse knowing,-11.656
nurse our,-11.656
nurse said,-11.656
nurse tells,-11.656
objects <eos>,-11.656
objects and,-11.656
objects around,-11.656
objects as,-11.656
objects before,-11.656
objects for,-11.656
objects out,-11.656
objects she,-11.656
objects so,-11.656
objects surrounding,-11.656
objects through,-11.656
offended <eos>,-11.656
offended Elinor,-11.656
offended Mrs,-11.656
offended by,-11.656
offended he,-11.656
offended said,-11.656
offended the,-11.656
offended them,-11.656
offended to,-11.656
offended with,-11.656
offended you,-11.656
offering a,-11.656
offering as,-11.656
offering for,-11.656
offering of,-11.656
offering the,-11.656
offering you,-11.656
openly acknowledge,-11.656
openly acknowledged,-11.656
openly as,-11.656
openly correspond,-11.656
openly declared,-11.656
openly encouraging,-11.656
openly just,-11.656
openly mentioned,-11.656
openly my,-11.656
openly passed,-11.656
openly shewing,-11.656
openly than,-11.656
openly to,-11.656
orders already,-11.656
orders directly,-11.656
orders he,-11.656
orders on,-11.656
orders with,-11.656
orders would,-11.656
pains I,-11.656
pains and,-11.656
pains as,-11.656
pains of,-11.656
passage again,-11.656
passage home,-11.656
passage into,-11.656
passage led,-11.656
passage must,-11.656
passage my,-11.656
passage nor,-11.656
passage of,-11.656
passage plan,-11.656
passage to,-11.656
passage were,-11.656
patience <eos>,-11.656
patience And,-11.656
patience as,-11.656
patience enough,-11.656
patience for,-11.656
patience or,-11.656
patience self,-11.656
patience till,-11.656
patience to,-11.656
paying my,-11.656
paying our,-11.656
paying that,-11.656
paying them,-11.656
peculiar <UNK>,-11.656
peculiar and,-11.656
peculiar anxiety,-11.656
peculiar concern,-11.656
peculiar disgrace,-11.656
peculiar elegance,-11.656
peculiar graces,-11.656
peculiar misery,-11.656
peculiar object,-11.656
peculiar obligation,-11.656
peculiar sort,-11.656
peculiar wound,-11.656
performance I,-11.656
performance both,-11.656
performance is,-11.656
performance on,-11.656
persons <eos>,-11.656
persons appeared,-11.656
persons are,-11.656
persons at,-11.656
persons entered,-11.656
persons in,-11.656
persons listened,-11.656
persons of,-11.656
persons on,-11.656
persons reception,-11.656
persons to,-11.656
persons understanding,-11.656
persons walking,-11.656
positive act,-11.656
positive an,-11.656
positive assertion,-11.656
positive assurances,-11.656
positive in,-11.656
positive merit,-11.656
precisely after,-11.656
precisely as,-11.656
precisely heard,-11.656
precisely of,-11.656
precisely pleased,-11.656
precisely such,-11.656
preferred <eos>,-11.656
preferred an,-11.656
preferred being,-11.656
preferred going,-11.656
preferred on,-11.656
preferred than,-11.656
preferred to,-11.656
preferred white,-11.656
preparation <eos>,-11.656
preparation You,-11.656
preparation and,-11.656
preparation foolish,-11.656
preparation necessary,-11.656
preparation of,-11.656
preparation the,-11.656
preparation was,-11.656
preparing Marianne,-11.656
preparing against,-11.656
preparing only,-11.656
preparing yourself,-11.656
pretend I,-11.656
pretend not,-11.656
pretend with,-11.656
previous <UNK>,-11.656
previous alarm,-11.656
previous and,-11.656
previous caution,-11.656
previous determination,-11.656
previous formality,-11.656
previous indisposition,-11.656
previous opinion,-11.656
previous resolution,-11.656
previous suspicion,-11.656
previous tranquillity,-11.656
previously alarmed,-11.656
previously been,-11.656
previously determined,-11.656
previously disposed,-11.656
previously finished,-11.656
previously forming,-11.656
previously her,-11.656
previously in,-11.656
previously informed,-11.656
previously known,-11.656
previously made,-11.656
previously sitting,-11.656
previously spoken,-11.656
previously there,-11.656
previously well,-11.656
principal <eos>,-11.656
principal acquaintance,-11.656
principal attention,-11.656
principal correspondent,-11.656
principal family,-11.656
principal his,-11.656
principal instrument,-11.656
principal of,-11.656
principal one,-11.656
principal part,-11.656
principal street,-11.656
principal talker,-11.656
principal the,-11.656
principle <UNK>,-11.656
principle and,-11.656
principle as,-11.656
principle by,-11.656
principle on,-11.656
principle or,-11.656
principle that,-11.656
principle this,-11.656
principle to,-11.656
principle will,-11.656
principle you,-11.656
probable <UNK>,-11.656
probable as,-11.656
probable circumstance,-11.656
probable consequence,-11.656
probable fears,-11.656
probable for,-11.656
probable or,-11.656
probable recurrence,-11.656
probable still,-11.656
produce an,-11.656
produce any,-11.656
produce evil,-11.656
produce in,-11.656
produce it,-11.656
produce more,-11.656
produce something,-11.656
produce this,-11.656
produce with,-11.656
produce written,-11.656
progress <eos>,-11.656
progress both,-11.656
progress may,-11.656
progress through,-11.656
progress up,-11.656
progress without,-11.656
proposal almost,-11.656
proposal on,-11.656
proposal particularly,-11.656
proposal to,-11.656
proposal was,-11.656
proposal which,-11.656
proud <eos>,-11.656
proud assuming,-11.656
prudence I,-11.656
prudence for,-11.656
prudence in,-11.656
prudence merely,-11.656
prudence might,-11.656
prudence of,-11.656
prudence remained,-11.656
prudence required,-11.656
prudence she,-11.656
prudence to,-11.656
prudence will,-11.656
quarrel blameless,-11.656
quarrel could,-11.656
quarrel had,-11.656
quarrel in,-11.656
quarrel seemed,-11.656
questions <eos>,-11.656
questions all,-11.656
questions enough,-11.656
questions increased,-11.656
questions must,-11.656
questions of,-11.656
questions to,-11.656
quietly about,-11.656
quietly at,-11.656
quietly down,-11.656
quietly keeping,-11.656
quietly leading,-11.656
quietly settled,-11.656
quietly till,-11.656
quietly to,-11.656
quietly tried,-11.656
quietly whether,-11.656
quietly with,-11.656
quit Marianne,-11.656
quit her,-11.656
quit him,-11.656
quit his,-11.656
quit that,-11.656
quit them,-11.656
quitting Lady,-11.656
quitting London,-11.656
quitting Norland,-11.656
quitting it,-11.656
quitting their,-11.656
ran <eos>,-11.656
ran against,-11.656
ran eagerly,-11.656
ran foul,-11.656
ran home,-11.656
ran immediately,-11.656
ran over,-11.656
ran quite,-11.656
ran to,-11.656
re admitted,-11.656
re assurance,-11.656
re declined,-11.656
re entered,-11.656
re establish,-11.656
re perusal,-11.656
re settling,-11.656
re union,-11.656
re urge,-11.656
re urged,-11.656
recommendation enough,-11.656
recommendation from,-11.656
recommendation he,-11.656
recovery <UNK>,-11.656
recovery and,-11.656
recovery continued,-11.656
recovery elsewhere,-11.656
recovery from,-11.656
recovery in,-11.656
recovery might,-11.656
recovery of,-11.656
recovery slow,-11.656
recovery wonder,-11.656
reflections ended,-11.656
reflections gave,-11.656
reflections may,-11.656
reflections so,-11.656
reflections some,-11.656
reflections to,-11.656
reflections were,-11.656
refuse Aye,-11.656
refuse Mr,-11.656
refuse and,-11.656
refuse but,-11.656
refuse what,-11.656
regrets I,-11.656
regrets at,-11.656
regrets could,-11.656
regrets had,-11.656
regrets kept,-11.656
regrets so,-11.656
regrets to,-11.656
regrets what,-11.656
regrets would,-11.656
rejoiced <eos>,-11.656
rejoiced and,-11.656
rejoiced anew,-11.656
rejoiced at,-11.656
rejoiced her,-11.656
rejoiced that,-11.656
remaining <UNK>,-11.656
remaining among,-11.656
remaining another,-11.656
remaining at,-11.656
remaining dues,-11.656
remaining even,-11.656
remaining five,-11.656
remaining half,-11.656
remaining here,-11.656
remaining one,-11.656
remaining restraints,-11.656
remaining there,-11.656
remaining unconscious,-11.656
remarkably airy,-11.656
remarkably clever,-11.656
remarkably comfortable,-11.656
remarkably good,-11.656
remarkably plain,-11.656
remarkably pretty,-11.656
remarkably quick,-11.656
remarkably tall,-11.656
rendered <UNK>,-11.656
rendered Jane,-11.656
rendered a,-11.656
rendered every,-11.656
rendered many,-11.656
rendered possible,-11.656
rendered reasonable,-11.656
rendered that,-11.656
rendered unhappy,-11.656
resemblance But,-11.656
resemblance I,-11.656
resemblance to,-11.656
resentment <UNK>,-11.656
resentment in,-11.656
resentment of,-11.656
resentment on,-11.656
resentment or,-11.656
resentment though,-11.656
resentment towards,-11.656
resentment were,-11.656
resentment which,-11.656
reserved I,-11.656
reserved Marianne,-11.656
reserved cold,-11.656
reserved it,-11.656
reserved more,-11.656
reserved on,-11.656
reserved person,-11.656
reserved said,-11.656
reserved spiritless,-11.656
reserved who,-11.656
reserved yet,-11.656
residence <UNK>,-11.656
residence and,-11.656
residence at,-11.656
residence being,-11.656
residence from,-11.656
residence its,-11.656
residence of,-11.656
residence there,-11.656
residence within,-11.656
rights had,-11.656
rights however,-11.656
rights it,-11.656
rights she,-11.656
rights that,-11.656
rights would,-11.656
rising again,-11.656
rising beauty,-11.656
rising colour,-11.656
rising confessed,-11.656
rising from,-11.656
rising hastily,-11.656
rising in,-11.656
rising into,-11.656
rising said,-11.656
rising sun,-11.656
rising than,-11.656
risk <eos>,-11.656
risk and,-11.656
risk any,-11.656
risk by,-11.656
risk in,-11.656
risk would,-11.656
rose again,-11.656
rose also,-11.656
rose from,-11.656
rose immediately,-11.656
rose under,-11.656
rose with,-11.656
roused Anne,-11.656
roused and,-11.656
roused from,-11.656
roused him,-11.656
roused himself,-11.656
roused one,-11.656
roused the,-11.656
roused to,-11.656
sacrifice and,-11.656
sacrifice for,-11.656
sacrifice on,-11.656
sacrifice one,-11.656
sacrifice said,-11.656
sacrifice than,-11.656
sacrifice to,-11.656
safety before,-11.656
safety had,-11.656
safety her,-11.656
safety not,-11.656
safety soon,-11.656
safety to,-11.656
safety without,-11.656
sanguine <eos>,-11.656
sanguine and,-11.656
sanguine as,-11.656
sanguine but,-11.656
sanguine expectation,-11.656
sanguine expectations,-11.656
sanguine hope,-11.656
sanguine state,-11.656
sanguine though,-11.656
sanguine was,-11.656
satisfy Emma,-11.656
satisfy Lucy,-11.656
satisfy Mrs,-11.656
satisfy YOU,-11.656
satisfy all,-11.656
satisfy and,-11.656
satisfy every,-11.656
satisfy herself,-11.656
satisfy him,-11.656
satisfy himself,-11.656
satisfy his,-11.656
satisfy them,-11.656
scruples as,-11.656
scruples had,-11.656
scruples he,-11.656
scruples than,-11.656
scruples which,-11.656
seated <eos>,-11.656
seated around,-11.656
seated before,-11.656
seated her,-11.656
seated herself,-11.656
seated long,-11.656
seated of,-11.656
seated side,-11.656
secured <UNK>,-11.656
secured <eos>,-11.656
secured Mrs,-11.656
secured and,-11.656
secured her,-11.656
secured him,-11.656
secured his,-11.656
secured of,-11.656
secured such,-11.656
seek for,-11.656
seek him,-11.656
